rank,name_en,name_tr
1,Hacettepe University,Hacettepe Üniversitesi
2,Middle East Technical University,Orta Doğu Teknik Üniversitesi
3,Istanbul Technical University,İstanbul Teknik Üniversitesi
4,Ankara University,Ankara Üniversitesi
5,Koç University,Koç Üniversitesi
6,Istanbul University,İstanbul Üniversitesi
7,Bilkent University,Bilkent Üniversitesi
8,Atatürk University,Atatürk Üniversitesi
9,Gazi University,Gazi Üniversitesi
10,Ege University,Ege Üniversitesi
11,Sabanci University,Sabancı Üniversitesi
12,Dokuz Eylül University,Dokuz Eylül Üniversitesi
13,Marmara University,Marmara Üniversitesi
14,University of Anatolia,Anadolu Üniversitesi
15,Firat University,Fırat Üniversitesi
16,Sakarya University,Sakarya Üniversitesi
17,Erciyes University,Erciyes Üniversitesi
18,Akdeniz University,Akdeniz Üniversitesi
19,Istanbul Bilgi University,İstanbul Bilgi Üniversitesi
20,Uludağ University,Uludağ Üniversitesi
21,Karadeniz Technical University,Karadeniz Teknik Üniversitesi
22,Ondokuz Mayis University,Ondokuz Mayıs Üniversitesi
23,Çankaya University,Çankaya Üniversitesi
24,Bahçeşehir University,Bahçeşehir Üniversitesi
25,Cumhuriyet University,Cumhuriyet Üniversitesi
26,Gaziantep University,Gaziantep Üniversitesi
27,Gebze Technological University,Gebze Teknik Üniversitesi
28,Suleyman Demirel University,Süleyman Demirel Üniversitesi
29,Özyeğin University,Özyeğin Üniversitesi
30,Kocaeli University,Kocaeli Üniversitesi
31,Izmir Institute of Technology,İzmir Yüksek Teknoloji Enstitüsü
32,Kirikkale University,Kırıkkale Üniversitesi
33,Istanbul University-Cerrahpaşa,İstanbul Üniversitesi-Cerrahpaşa
34,Mersin University,Mersin Üniversitesi
35,Eskişehir Osmangazi University,Eskisehir Osmangazi Üniversitesi
36,Istanbul Aydin University,İstanbul Aydın Üniversitesi
37,Karabük University,Karabük Üniversitesi
38,Pamukkale University,Pamukkale Üniversitesi
39,Harran University,Harran Üniversitesi
40,TOBB Economics and Technology University,TOBB Ekonomi ve Teknoloji Üniversitesi
41,Yüzüncü Yil University,Yüzüncü Yıl Üniversitesi
42,Çanakkale Onsekyz Mart University,Çanakkale Onsekiz Mart Üniversitesi
43,Necmettin Erbakan University,Necmettin Erbakan Üniversitesi
44,Yeditepe University,Yeditepe Üniversitesi
45,İnönü University,İnönü Üniversitesi
46,Başkent University,Başkent Üniversitesi
47,Abant Izzet Baysal University,Abant İzzet Baysal Üniversitesi
48,Istanbul Medipol University,İstanbul Medipol Üniversitesi
49,Healh Sciences University,Sağlık Bilimleri Üniversitesi
50,Trakya University,Trakya Üniversitesi
51,Muğla Sıtkı Koçman University,Muğla Sıtkı Koçman Üniversitesi
52,Yildiz Technical University,Yıldız Teknik Üniversitesi
53,Adnan Menderes University,Adnan Menderes Üniversitesi
54,İstanbul Gelişim University,İstanbul Gelişim Üniversitesi
55,İstanbul Medeniyet University,İstanbul Medeniyet Üniversitesi
56,Gaziosmanpaşa University,Gaziosmanpaşa Üniversitesi
57,Atilim University,Atılım Üniversitesi
58,Afyon Kocatepe University,Afyon Kocatepe Üniversitesi
59,Bartin University,Bartın Üniversitesi
60,Çukurova University,Çukurova Üniversitesi
61,Yaşar University,Yaşar Üniversitesi
62,Kafkas University,Kafkas Üniversitesi
63,Bingöl University,Bingöl Üniversitesi
64,Karamanoğlu Mehmetbey University,Karamanoğlu Mehmetbey Üniversitesi
65,Giresun University,Giresun Üniversitesi
66,Balikesir University,Balıkesir Üniversitesi
67,Recep Tayyip Erdoğan University (Rize University),Recep Tayyip Erdoğan Üniversitesi
68,Zonguldak Bülent Ecevit Üniversitesi,Zonguldak Bülent Ecevit Üniversitesi
69,Bozok University,Bozok Üniversitesi
70,Adiyaman University,Adıyaman Üniversitesi
71,Selçuk University,Selçuk Üniversitesi
72,Namik Kemal University,Namık Kemal Üniversitesi
73,Kahramanmaraş Sütçü İmam University,Kahramanmaraş Sütçü İmam Üniversitesi
74,Kastamonu University,Kastamonu Üniversitesi
75,Yıldırım Beyazıt University,Yıldırım Beyazıt Üniversitesi
76,Nigde Omer Halisdemir University,Niğde Ömer Halisdemir Üniversitesi
77,Dicle University,Dicle Üniversitesi
78,Kadir Has University,Kadir Has Üniversitesi
79,Uskudar University,Üsküdar Üniversitesi
80,Mehmet Akif Ersoy University,Mehmet Akif Ersoy Üniversitesi
81,Izmir University of Economics,İzmir Ekonomi Üniversitesi
82,Beykent University,Beykent Üniversitesi
83,Acibadem University,Acıbadem Üniversitesi
